,title,text,label
61296,Putin BURNS Legal System For Letting “Sexual Emergency” Migrant Walk FREE After Molesting Boy,"0 comments 
There are things that we tend not to agree with when it comes to Putin. However, I think when you see the point he is trying to make here, this is common ground we can all meet on and agree with one another on. 
His reason for being upset with the government is clear. They allowed a sexual predator free for reasons that are so asinine that one could think the defendant himself made the ruling. 
It’s sickening.. 
The Russian president rarely comments on the internal affairs of European countries, and even less on specific court cases. However, Mr. Putin refused to stay silent this week as he slammed the Austrian justice system over a case in which the infamous “sexual emergency” migrant rapist was alleged to have been acquitted by an Austrian court who will seek a retrial on the case, reports OE24. 
According to Mr. Putin, the court’s decision was the result of a “dissolution of traditional national values”. He added: “In a European country a child is raped by a migrant. The court acquitted him for two reasons: he speaks the language poorly and he did not understand that the boy, yes it was a boy, didn’t want this.” 
Putin called the resulting court ruling inconceivable and said that a nation that refuses to defend its children has no future. “This is the result of the dissolution of traditional national values and a sense of guilt towards migrants,” he said. 
Breitbart London reported on the attack, which occurred late last year, in which the Iraqi asylum seeker brutally raped a ten-year-old boy in a swimming pool in the Austrian capital of Vienna. 
The boy was so brutally assaulted that he had to be hospitalised for his injuries and the migrant, when asked why he committed the crime, claimed it had been a “sexual emergency”. The phrase became notorious on social media as many used it to highlight the clear social problems many of the new migrants presented to European societies. 
According to Austria’s chief justice, the migrant had not, in fact, been acquitted of the charges, but rather the trial was expected to be re-run on the basis that the boy now suffers post-traumatic stress disorder. This new charge could allow prosecutors to put the Iraqi behind bars for up to 15 years. 
Putin says when a country refuses to protect its’ children, it becomes a country with no future. What do you think about that, would you agree? Related Items",1
63249,JUDGE JEANINE IS FURIOUS! “Hillary Won’t Stop Lying!” [VIDEO],Can you blame her for losing her cool with Crooked Lying Hillary? Share this with all of your  undecided  friends!https://youtu.be/CCkXOix0g2Y,1
39973,iPhone Tricks – 15 Secret iPhone Codes,"posted by Eddie A list of secret Apple iPhone codes that can unlock a raft of hidden features and settings has been revealed, allowing users to do anything from enhancing their call quality to checking their mobile balance. While Android is particularly well known for offering a rabbit-hole of an operating system that can be tweaked and tinkered with, Apple’s iOS has kept menus and settings relatively simple and locked down. However, there is a way that users can drill down to find some gems not seen on the surface. If you want to find out how many minutes you have left on your phone tariff, what your IMEI number (something you’ll need if you swap phone networks) or even find out a way to enhance your iPhone’s voice quality there’s a way to do it that you won’t find by going to your normal phone’s settings. Redmond Pie revealed a full list of the codes and how to use them. By typing in the following secret USSD codes on the dialpad of the phone then pressing the call button you can bring up these tricks: *3001#12345#* :Field Test mode *#5005*7672# : SMS centre number *3370# : Turn on or off EFR (Enhanced Full Rate), a mode that improves your iPhone’s call quality *#06# : Find out your iPhone’s IMEI number *#31# : Hide your number on calls option *#43# : Check if call waiting is on or off *43# : Turn on call waiting #43# : Turn off call waiting *646# : Check minutes left on contract *225# : Find out your current mobile account balance *777# : Find out prepaid account balance *#61# : Number of missed calls *#21# : Call forwarding status *#67# : Call forwarding number *#33# : Find out what mobile services are disabled on your phone One of the most interesting of the USSD codes is the Field Test mode, which allows users to see their phone-signal strength measured in numbers rather than those five bars. You’ll see something displaying such as ‘-90’, with the number going up and down depending on signal. A value above -80 is a full-bar strength, but anything below -110 is very weak. This is a more accurate way of seeing whether you have enough signal to make a call, rather than holding on to hope with one-bar. It’s worth noting that you should only use these codes and play around with your settings at your own risk, if you’re not sure what something does better leave it be. source:",1
68054,REVEALED: The Establishment’s Scheme to Take Down Trump,"21st Century Wire says Based on the events we have seen over the past two months   the Democrat-organized street protests and calls to abolish the Electoral College, Democrat intimidation of electors, the pseudo recount  by the Democratic Party and their willing agent Jill Stein, the evidence-free DNI Report on the alleged  Russian Hack  and the fake  Trump-Russia Blackmail  dossier, as well as radical left-wing plans to  shut down next week s inauguration and block the transfer of power in Washington  you can be absolutely certain that the losing party will not give up and have yet to unveil some more audacious plans  designed to unseat the new 45th President of the United States, Donald J Trump.    If Trump makes it past the inauguration on Jan 20th, expect a serious purge to take place in Washington DC, as the new administration attempt to remove those who are hell-bent on sabotaging the political process and transfer of power.All you need to know about this dodgy dossier   fabricated and then laundered by anti-Russian war hawk John McCain in a way which seems to be standard practice for Washington s political and media hacks alike: But this is what one would expect of a document based entirely of hearsay in which Source A claims to have gotten a juicy tidbit from Source B, who heard it from Source C deep inside the Kremlin. Constortium News Exclusive: The U.S. intelligence community s unprecedented assault on an incoming U.S. president   now including spreading salacious rumors   raises questions about how long Donald Trump can hold the White House, says Daniel Lazare  Daniel Lazare Consortium NewsIs a military coup in the works? Or are U.S. intelligence agencies laying the political groundwork for forcing Donald Trump from the presidency because they can t abide his rejection of a new cold war with Russia? Not long ago, even asking such questions would have marked one as the sort of paranoid nut who believes that lizard people run the government. But no longer.Thanks to the now-notorious 35-page dossier concerning Donald Trump s alleged sexual improprieties in a Moscow luxury hotel, it s clear that strange maneuverings are underway in Washington and that no one is quite sure how they will end.Director of National Intelligence James Clapper added to the mystery Wednesday evening by releasing a 200-word statement to the effect that he was shocked, shocked, that the dossier had found its way into the press. Such leaks, the statement said,  are extremely corrosive and damaging to our national security. Clapper added: that this document is not a US Intelligence Community product and that I do not believe the leaks came from within the IC. The IC has not made any judgment that the information in this document is reliable, and we did not rely upon it in any way for our conclusions. However, part of our obligation is to ensure that policymakers are provided with the fullest possible picture of any matters that might affect national security. Rather than vouching for the dossier s contents, in other words, all Clapper says he did was inform Trump that it was making the rounds in Washington and that he should know what it said   and that he thus couldn t have been more horrified than when Buzzfeed posted all 35 pages on its website.But it doesn t make sense. As The New York Times noted,  putting the summary in a report that went to multiple people in Congress and the executive branch made it very likely that it would be leaked  (emphasis in the original). So even if the  intelligence community  didn t leak the dossier itself, it distributed it knowing that someone else would.Then there is The Guardian, second to none in its loathing for Trump and Vladimir Putin and hence intent on giving the dossier the best possible spin. It printed a quasi-defense not of the memo itself but of the man who wrote it: Christopher Steele, an ex-MI6 officer who now heads his own private intelligence firm. A sober, cautious and meticulous professional with a formidable record  is how the Guardiandescribed him. Then it quoted an unnamed ex-Foreign Office official on the subject of Steele s credibility: The idea his work is fake or a cowboy operation is false, completely untrue. Chris is an experienced and highly regarded professional. He s not the sort of person who will simply pass on gossip.   If he puts something in a report, he believes there s sufficient credibility in it for it to be worth considering. Chris is a very straight guy. He could not have survived in the job he was in if he had been prone to flights of fancy or doing things in an ill-considered way. In other words, Steele is a straight-shooter, so it s worth paying attention to what he has to say. Or so the Guardian assures us. That is the way the CIA and the FBI, not to mention the British government, regarded him, too,  it adds, so presumably Clapper felt the same way.What is Afoot?So what does it all mean? Simply that U.S. intelligence agencies believed that the dossier came from a reliable source and that, as a consequence, there was a significant possibility that Trump was a  Siberian candidate,  as Times columnist Paul Krugman once described him. They therefore sent out multiple copies of a two-page summary on the assumption that at least one would find its way to the press.Even if Clapper & Co. took no position concerning the dossier s contents, they knew that preparing and distributing such a summary amounted to a tacit endorsement. They also knew, presumably, that it would provide editors with an excuse to go public. If the CIA, FBI, and National Security Agency feel that Steele s findings are worthy of attention, then why shouldn t the average reader have an opportunity to examine them as well?How did Clapper expect Trump to respond when presented with allegations that he was vulnerable to Russian blackmail and potentially under the Kremlin s thumb? Did he expect him to hang his head in shame, break into great racking sobs, and admit that it was all true? If so, did Clapper \then plan to place a comforting hand on Trump s shoulder and suggest, gently but firmly, that it was time to step aside and allow a trusted insider like Mike Pence to take the reins?Based on the sturm und drang of the last few days, the answer is very possibly yes. If so, the gambit failed when Trump, in his usual high-voltage manner, denounced the dossier as  fake news  and sailed into the intelligence agencies for behaving like something out of  Nazi Germany. The intelligence community s hopes, if that s what they were, were dashed.All of which is thoroughly unprecedented by American political standards. After all, this is a country that takes endless pride in the peaceful transfer of power every four years or so. Yet here was the intelligence community attempting to short-circuit the process by engineering Trump s removal before he even took office.But the Guardian then upped the ante even more by suggesting that the CIA continue with the struggle. Plainly, the Republican congressional leadership has  no appetite  for an inquiry into Steele s findings, the paper s New York correspondent, Ed Pilkington, wrote, adding: That leaves the intelligence agencies. The danger for Trump here is that he has so alienated senior officials, not least by likening them to Nazis, that he has hardly earned their loyalty. What was the Guardian suggesting   that disloyal intelligence agents keep on searching regardless? And what if they come up with what they claim is a smoking gun?Explained Pilkington:  To take a flight of fancy, what if it [i.e. Steele s findings] were substantiated? That would again come down to a question of politics. No US president has ever been forced out of office by impeachment (Richard Nixon resigned before the vote; Andrew Johnson and Bill Clinton were acquitted by the Senate). Any such procedure would have to be prepared and approved by a majority of the House of Representatives, and then passed to the Senate for a two-thirds majority vote. As the Republicans hold the reins in both chambers, it would take an almighty severing of ties between Trump and his own party to even get close to such a place. It s a long shot, but the Guardian s recommendation is that rogue agents keep on digging until they strike pay dirt, at which point they should go straight to Congress and persuade   if not pressure   the Republican leadership to initiate the process of throwing Trump out of office.This is not the same as sending an armored column to attack Capitol Hill, but it s close. Essentially, the Guardian was calling on the intelligence agencies to assume ultimate responsibility regarding who can sit in the Oval Office and who cannot Continue this story at Consortium NewsREAD MORE ELECTIONS NEWS AT: 21st Century Wire 2016 FilesSUPPORT OUR WORK BY SUBSCRIBING & BECOMING A MEMBER @21WIRE.TV",1
66141," Donald Trump Promotes Shooting Muslims With Bullets Dipped In Pig’s Blood, Gets An Ovation (VIDEO)","During a rally in California, GOP presidential frontrunner Donald Trump praised a bogus historical incident where Muslims were shot by bullets dipped in pig s blood   to rapturous applause.It appears that neither Donald Trump, nor the crowd in Costa Mesa, are aware that there is no evidence this historical incident actually happened. Given the campaign s focus on rhetoric over fact to date, t s unlikely anyone would care either. But for the record, Trump was praising the vile actions of U.S. General John Joseph Pershing. The story goes that the General cracked down on Islamic terrorism in the early 20th century with a single act of terror of his own. As Trump delights in telling the crowd, reciting it as if historical fact, the General dipped bullets in pigs blood, then shot 49 Muslims   letting the 50th off to act as a cautionary tale.Trump s point? That only the most brutal measures will make America safe from Islamic terrorism   that any and all means of persecution and punishment are justified. Even, apparently, mass murder. And the crowd went wild, erupting into applause   some breaking out into a standing ovation.It s not even the first time Trump has wheeled out the story either. Despite the fact that this complete and morbid fantasy was taken to pieces when just two months ago when he last road-tested it. Trump came back for more last night in California.What makes the matter all the more galling, is this is pure fairytale. As Mediaite s Josh Feldman has written previously:There has been a persistent rumor for years that United States General John Pershing cracked down on Islamic terrorism in the early 1900s by dipping bullets in pig s blood and shooting Muslim prisoners with them. This is a hoax. It has never been proven.In addition, the popular fact-checking site Politifact undertook their own investigation in the tale, and they ended up rating it as  Pants on Fire. This means they could find literally no truth whatsoever in the claims.https://www.youtube.com/watch?v=TWcinTg9K98Ladies and Gentlemen, we present to you the potential future President of the United States.Featured Image via Screengrab",1
49918,FIVE FACTS About Benghazi That Hillary Doesn’t Want You To Know,FIVE FACTS ABOUT HILLARY AND BENGHAZI:,1
52465,‘Why is it the first time I’m hearing about this?’ asks office wanker,"November 14, 2016 ‘Communication within this company just infuriates me,’ said insufferable manager Steven Parker, after tweeting the same remark to his 3 online followers. ‘The silo mentality is toxic and we need to break down organisational barriers so that fundamental knowledge is shared. This firm is a breeding ground for interdepartmental turf wars, and we must implement some basic cross-functional solutions’. 
Steven continued shouting quite loudly at every available opportunity about a matter of negligible significance – a chain email entitled: ‘Stationery cupboard low on blue pens’. 
Mr. Parker runs his own family business and that his 2 support staff, wife Jenny and daughter Emma, completely despise him. jonessgl",1
47885,WATCH FEMALE HISPANIC COP’S “ALL LIVES MATTER” VIRAL VIDEO MESSAGE: “I May Get In Trouble For Doing This”,This brave cop (and mommy) reminds us that police officers risk their lives every day without asking what color the person is they are being asked to protect and defend when they get that call from the dispatcher.  She makes a lot of great common sense remarks in this video. It s definitely worth a watch:Lydia Marquez has a Facebook page you can find by clicking here.,1
34797, Trump Just Made A Hugely Inappropriate Threat Over Trumpcare While Speaking To Boy Scouts (VIDEO),"With the Trumpcare vote coming up tomorrow, The Donald is out stumping for support for the bill, and being really inappropriate about it. He actually asked Navy personnel to call their Congresspeople about healthcare, and now he s threatening his own Health and Human Services secretary, Tom Price, in front of Boy Scouts.Yes, that s right, while speaking at the Boy Scout Jamboree in Virginia today, Trump decided it was not only appropriate to get political and do nonsense like demand more loyalty, but he also pointed directly to Price at one point and said,  By the way, you re going to get the votes? He better get  em. He better get  em,  in reference to getting the necessary votes to move the disastrous Trumpcare bill to the Senate floor for debate.He also said,  He better get Senator Capito to vote for it.  Senator Shelley Moore Capito is one of Virginia s two Senators, and one of the three who said they would not vote to move Trumpcare forward for a full debate.But that wasn t all Trump said. This is where things got really inappropriate. Trump thought he d play reality television star once again after telling Price that he d better be getting the necessary votes for tomorrow. He made it clear, in front of children, that there will be hell for Price to pay, if he doesn t.Watch below:Featured image via video screen capture",1
66307,SAY WHAT? AMAZON TELLS CUSTOMER THEY WERE FORCED BY FEDERAL GOVERNMENT To Remove Confederate Flag From Website,"When it comes to limiting our free speech, nothing this lawless government does should surprise us. Under  normal  circumstances, I would question the validity of this claim, but we are no longer living under  normal  circumstances Amazon.com staff are telling irate customers that the company was ordered by the federal government not to sell items featuring the Confederate flag in the aftermath of the Charleston shooting.Amazon made the announcement this week, along with eBay, Sears and Walmart, that it would no longer sell products bearing the rebel flag, but according to a conversation posted on YouTube between a customer and an Amazon sales rep, the decision could have been made as a result of pressure from the government.At first the Amazon staffer claims that the items were banned because they were deemed to be offensive, but when pressed by the customer, the sales rep tells a different story. Is this a political statement by Amazon.com or is this a directive that you re following, that the government said you know we want you guys not to sell these anymore?  asks the caller. The government is not allowing us to sell this Confederate flag,  responds the staffer. So the government is not allowing you .to sell it?  asks the caller, to which the sales rep responds,  yes. So Amazon is not making a political statement, this is something the government told you to do?  questions the caller. Exactly,  responds the staffer.Via: InfoWars",1
